Año,Clave_Ent,Entidad,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2015,21,Puebla,El patrimonio,Robo,Robo a casa habitación,Sin violencia,208,198,194,174,190,156,199,193,213.0,206.0,162.0,170.0
2015,21,Puebla,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,69,45,46,49,55,48,53,55,70.0,69.0,68.0,71.0
2015,21,Puebla,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,209,192,185,192,195,190,133,135,189.0,192.0,210.0,215.0
2015,21,Puebla,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,21,25,27,12,18,18,23,12,35.0,26.0,33.0,14.0
2015,21,Puebla,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,47,21,35,31,36,43,34,33,48.0,37.0,57.0,31.0
2015,21,Puebla,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Con violencia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,21,Puebla,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Sin violencia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,21,Puebla,El patrimonio,Robo,Robo de autopartes,Con violencia,5,1,0,1,0,5,7,1,5.0,2.0,2.0,2.0
2015,21,Puebla,El patrimonio,Robo,Robo de autopartes,Sin violencia,51,51,59,33,53,42,38,45,51.0,39.0,44.0,38.0
2015,21,Puebla,El patrimonio,Robo,Robo a transportista,Con violencia,37,29,22,29,33,38,27,33,33.0,35.0,39.0,29.0
2015,21,Puebla,El patrimonio,Robo,Robo a transportista,Sin violencia,3,2,8,4,4,1,0,0,3.0,3.0,2.0,0.0
2015,21,Puebla,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,144,141,139,143,142,165,156,152,151.0,143.0,159.0,118.0
2015,21,Puebla,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,35,15,19,13,17,15,12,11,11.0,8.0,12.0,11.0
2015,21,Puebla,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia,0,0,0,0,0,0,0,11,3.0,4.0,3.0,4.0
2015,21,Puebla,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia,0,0,0,0,0,0,0,0,1.0,3.0,4.0,2.0
2015,21,Puebla,El patrimonio,Robo,Robo en transporte público individual,Con violencia,15,18,23,26,24,24,29,16,28.0,18.0,28.0,15.0
2015,21,Puebla,El patrimonio,Robo,Robo en transporte público individual,Sin violencia,1,2,1,1,2,0,2,0,1.0,4.0,1.0,2.0
2015,21,Puebla,El patrimonio,Robo,Robo en transporte público colectivo,Con violencia,13,20,12,23,15,23,22,12,24.0,36.0,21.0,23.0
2015,21,Puebla,El patrimonio,Robo,Robo en transporte público colectivo,Sin violencia,8,7,2,4,4,5,5,3,4.0,9.0,9.0,9.0
2015,21,Puebla,El patrimonio,Robo,Robo en transporte individual,Con violencia,12,25,18,19,19,3,24,36,26.0,26.0,18.0,17.0
2015,21,Puebla,El patrimonio,Robo,Robo en transporte individual,Sin violencia,73,69,95,72,96,0,89,82,78.0,72.0,70.0,61.0
2015,21,Puebla,El patrimonio,Robo,Robo a institución bancaria,Con violencia,0,0,0,1,0,0,0,0,1.0,0.0,1.0,0.0
2015,21,Puebla,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015,21,Puebla,El patrimonio,Robo,Robo a negocio,Con violencia,83,61,59,79,85,80,81,83,80.0,84.0,82.0,81.0
2015,21,Puebla,El patrimonio,Robo,Robo a negocio,Sin violencia,121,102,104,103,81,96,91,98,93.0,96.0,93.0,90.0
2015,21,Puebla,El patrimonio,Robo,Robo de ganado,Con violencia,2,3,3,4,1,6,3,1,7.0,3.0,4.0,0.0
2015,21,Puebla,El patrimonio,Robo,Robo de ganado,Sin violencia,32,24,18,24,16,21,30,14,32.0,25.0,19.0,12.0
2015,21,Puebla,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Con violencia,3,0,2,1,2,2,1,2,1.0,2.0,3.0,1.0
2015,21,Puebla,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Sin violencia,3,1,3,0,6,4,4,9,3.0,8.0,2.0,1.0
2015,21,Puebla,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Con violencia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
