Delito,n_shares,threshold,shares_perdidos,secreto_reconstruido,correcto
Homicidio,4,2,0,18369.0,True
Homicidio,4,2,1,18369.0,True
Homicidio,4,2,2,18369.0,True
Homicidio,4,2,3,,False
Homicidio,4,3,0,18368.0,False
Homicidio,4,3,1,18368.0,False
Homicidio,4,3,2,,False
Homicidio,4,3,3,,False
Homicidio,4,4,0,18369.0,True
Homicidio,4,4,1,,False
Homicidio,4,4,2,,False
Homicidio,4,4,3,,False
Lesiones,4,2,0,18368.0,False
Lesiones,4,2,1,18368.0,False
Lesiones,4,2,2,18369.0,True
Lesiones,4,2,3,,False
Lesiones,4,3,0,18369.0,True
Lesiones,4,3,1,18369.0,True
Lesiones,4,3,2,,False
Lesiones,4,3,3,,False
Lesiones,4,4,0,18369.0,True
Lesiones,4,4,1,,False
Lesiones,4,4,2,,False
Lesiones,4,4,3,,False
Feminicidio,4,2,0,8163.0,False
Feminicidio,4,2,1,8163.0,False
Feminicidio,4,2,2,8163.0,False
Feminicidio,4,2,3,,False
Feminicidio,4,3,0,8165.0,False
Feminicidio,4,3,1,8164.0,True
Feminicidio,4,3,2,,False
Feminicidio,4,3,3,,False
Feminicidio,4,4,0,8164.0,True
Feminicidio,4,4,1,,False
Feminicidio,4,4,2,,False
Feminicidio,4,4,3,,False
Aborto,4,2,0,2041.0,True
Aborto,4,2,1,2042.0,False
Aborto,4,2,2,2042.0,False
Aborto,4,2,3,,False
Aborto,4,3,0,2038.0,False
Aborto,4,3,1,2039.0,False
Aborto,4,3,2,,False
Aborto,4,3,3,,False
Aborto,4,4,0,2043.0,False
Aborto,4,4,1,,False
Aborto,4,4,2,,False
Aborto,4,4,3,,False
Otros delitos que atentan contra la vida y la integridad corporal,4,2,0,2040.0,False
Otros delitos que atentan contra la vida y la integridad corporal,4,2,1,2041.0,True
Otros delitos que atentan contra la vida y la integridad corporal,4,2,2,2040.0,False
Otros delitos que atentan contra la vida y la integridad corporal,4,2,3,,False
Otros delitos que atentan contra la vida y la integridad corporal,4,3,0,2041.0,True
Otros delitos que atentan contra la vida y la integridad corporal,4,3,1,2042.0,False
Otros delitos que atentan contra la vida y la integridad corporal,4,3,2,,False
Otros delitos que atentan contra la vida y la integridad corporal,4,3,3,,False
Otros delitos que atentan contra la vida y la integridad corporal,4,4,0,2043.0,False
Otros delitos que atentan contra la vida y la integridad corporal,4,4,1,,False
Otros delitos que atentan contra la vida y la integridad corporal,4,4,2,,False
Otros delitos que atentan contra la vida y la integridad corporal,4,4,3,,False
Secuestro,4,2,0,10204.0,False
Secuestro,4,2,1,10206.0,False
Secuestro,4,2,2,10204.0,False
Secuestro,4,2,3,,False
Secuestro,4,3,0,10204.0,False
Secuestro,4,3,1,10203.0,False
Secuestro,4,3,2,,False
Secuestro,4,3,3,,False
Secuestro,4,4,0,10205.0,True
Secuestro,4,4,1,,False
Secuestro,4,4,2,,False
Secuestro,4,4,3,,False
Tráfico de menores,4,2,0,2041.0,True
Tráfico de menores,4,2,1,2040.0,False
Tráfico de menores,4,2,2,2040.0,False
Tráfico de menores,4,2,3,,False
Tráfico de menores,4,3,0,2042.0,False
Tráfico de menores,4,3,1,2041.0,True
Tráfico de menores,4,3,2,,False
Tráfico de menores,4,3,3,,False
Tráfico de menores,4,4,0,2045.0,False
Tráfico de menores,4,4,1,,False
Tráfico de menores,4,4,2,,False
Tráfico de menores,4,4,3,,False
Rapto,4,2,0,2040.0,False
Rapto,4,2,1,2040.0,False
Rapto,4,2,2,2040.0,False
Rapto,4,2,3,,False
Rapto,4,3,0,2038.0,False
Rapto,4,3,1,2043.0,False
Rapto,4,3,2,,False
Rapto,4,3,3,,False
Rapto,4,4,0,2042.0,False
Rapto,4,4,1,,False
Rapto,4,4,2,,False
Rapto,4,4,3,,False
Otros delitos que atentan contra la libertad personal,4,2,0,2040.0,False
Otros delitos que atentan contra la libertad personal,4,2,1,2040.0,False
Otros delitos que atentan contra la libertad personal,4,2,2,2041.0,True
Otros delitos que atentan contra la libertad personal,4,2,3,,False
Otros delitos que atentan contra la libertad personal,4,3,0,2041.0,True
Otros delitos que atentan contra la libertad personal,4,3,1,2040.0,False
Otros delitos que atentan contra la libertad personal,4,3,2,,False
Otros delitos que atentan contra la libertad personal,4,3,3,,False
Otros delitos que atentan contra la libertad personal,4,4,0,2040.0,False
Otros delitos que atentan contra la libertad personal,4,4,1,,False
Otros delitos que atentan contra la libertad personal,4,4,2,,False
Otros delitos que atentan contra la libertad personal,4,4,3,,False
Abuso sexual,4,2,0,2041.0,True
Abuso sexual,4,2,1,2040.0,False
Abuso sexual,4,2,2,2040.0,False
Abuso sexual,4,2,3,,False
Abuso sexual,4,3,0,2039.0,False
Abuso sexual,4,3,1,2043.0,False
Abuso sexual,4,3,2,,False
Abuso sexual,4,3,3,,False
Abuso sexual,4,4,0,2045.0,False
Abuso sexual,4,4,1,,False
Abuso sexual,4,4,2,,False
Abuso sexual,4,4,3,,False
Acoso sexual,4,2,0,2040.0,False
Acoso sexual,4,2,1,2040.0,False
Acoso sexual,4,2,2,2041.0,True
Acoso sexual,4,2,3,,False
Acoso sexual,4,3,0,2040.0,False
Acoso sexual,4,3,1,2041.0,True
Acoso sexual,4,3,2,,False
Acoso sexual,4,3,3,,False
Acoso sexual,4,4,0,2039.0,False
Acoso sexual,4,4,1,,False
Acoso sexual,4,4,2,,False
Acoso sexual,4,4,3,,False
Hostigamiento sexual,4,2,0,2041.0,True
Hostigamiento sexual,4,2,1,2040.0,False
Hostigamiento sexual,4,2,2,2041.0,True
Hostigamiento sexual,4,2,3,,False
Hostigamiento sexual,4,3,0,2040.0,False
Hostigamiento sexual,4,3,1,2040.0,False
Hostigamiento sexual,4,3,2,,False
Hostigamiento sexual,4,3,3,,False
Hostigamiento sexual,4,4,0,2042.0,False
Hostigamiento sexual,4,4,1,,False
Hostigamiento sexual,4,4,2,,False
Hostigamiento sexual,4,4,3,,False
Violación simple,4,2,0,2040.0,False
Violación simple,4,2,1,2040.0,False
Violación simple,4,2,2,2041.0,True
Violación simple,4,2,3,,False
Violación simple,4,3,0,2041.0,True
Violación simple,4,3,1,2040.0,False
Violación simple,4,3,2,,False
Violación simple,4,3,3,,False
Violación simple,4,4,0,2039.0,False
Violación simple,4,4,1,,False
Violación simple,4,4,2,,False
Violación simple,4,4,3,,False
Violación equiparada,4,2,0,2041.0,True
Violación equiparada,4,2,1,2041.0,True
Violación equiparada,4,2,2,2041.0,True
Violación equiparada,4,2,3,,False
Violación equiparada,4,3,0,2040.0,False
Violación equiparada,4,3,1,2040.0,False
Violación equiparada,4,3,2,,False
Violación equiparada,4,3,3,,False
Violación equiparada,4,4,0,2041.0,True
Violación equiparada,4,4,1,,False
Violación equiparada,4,4,2,,False
Violación equiparada,4,4,3,,False
Incesto,4,2,0,2041.0,True
